"Nom","Identifiant","Type","Sous-type","Sous-type","Commune","Code postal","Code INSEE","Département","Région","Latitude","Longitude","Site internet","Créateur","Mise à jour","Mise à jour DATAtourisme"
"Tèrra Aventura : Le chemin des poètes","ASCAQU087V500ZDR","Produit","Pratique",,"Peyrat-le-Château","87470","87117","Haute-Vienne","Nouvelle-Aquitaine","45.795057","1.84175501","https://www.terra-aventura.fr/caches/le-chemin-des-poetes","OT Portes de Vassivière","2026-07-15T00:00:00.000Z","2026-07-16T02:17:48.173Z"
"Tèrra Aventura : Les cyclistes ont la côte !","ASCAQU087V500ZF9","Produit","Pratique",,"Bonnac-la-Côte","87270","87020","Haute-Vienne","Nouvelle-Aquitaine","45.9453147","1.28097178","https://www.terra-aventura.fr/caches/les-cyclistes-ont-la-cote","OT Limoges Métropole","2025-10-18T00:00:00.000Z","2026-07-03T02:18:24.779Z"
"Tèrra Aventura : Tous en Celtes !","ASCAQU087V500ZFS","Produit","Pratique",,"Saint-Gence","87510","87143","Haute-Vienne","Nouvelle-Aquitaine","45.9240798","1.13671118","https://www.terra-aventura.fr/caches/tous-en-celtes","OT Limoges Métropole","2025-10-18T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura : Le crocodile du Lac","ASCAQU087V500ZBW","Produit","Pratique",,"Razès","87640","87122","Haute-Vienne","Nouvelle-Aquitaine","46.0406794","1.29535919","https://www.lacsaintpardoux.com/decouvrir/les-pieds-sur-terre-ou-dans-les-airs/le-parcours-terra-aventura-le-crocodile-du-lac/,https://www.terra-aventura.fr/caches/le-crocodile-du-lac","OT Monts du Limousin","2026-06-09T00:00:00.000Z","2026-06-10T02:28:36.355Z"
"Tèrra Aventura : Le jeu d'Eloi","ASCAQU087V500ZEE","Produit","Pratique",,"Solignac","87110","87192","Haute-Vienne","Nouvelle-Aquitaine","45.755225","1.27575069","https://www.terra-aventura.fr/caches/le-jeu-deloi","OT Limoges Métropole","2025-10-18T00:00:00.000Z","2026-07-03T02:18:24.778Z"
"Tèrra Aventura : Mémoire des justes","ASCAQU087V500A7K","Produit","Pratique",,"Châteauneuf-la-Forêt","87130","87040","Haute-Vienne","Nouvelle-Aquitaine","45.7095167","1.59735","https://www.terra-aventura.fr/caches/memoire-des-justes","CRT_NA","2025-01-21T00:00:00.000Z","2026-07-03T02:18:24.777Z"
"Tèrra Aventura : Cociaco Bonaldo !","ASCAQU087V500A81","Produit","Pratique",,"Coussac-Bonneval","87500","87049","Haute-Vienne","Nouvelle-Aquitaine","45.5114167","1.3255167","https://www.terra-aventura.fr/caches/cociaco-bonaldo","OT Pays de Saint-Yrieix","2026-06-26T00:00:00.000Z","2026-06-27T02:27:42.244Z"
"Tèrra Aventura : Randonnée spirituelle","ASCAQU024V50KCVH","Produit","Pratique",,"Saint-Avit-Sénieur","24440","24379","Dordogne","Nouvelle-Aquitaine","44.7745677","0.81584363","https://www.terra-aventura.fr/caches/spirituelle-randonnee","Pays de Bergerac, Vignoble & Bastides","2026-01-01T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : Estamponné ""Roquefort"" !","ASCAQU040V50W7V0","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs",,"Roquefort","40120","40245","Landes","Nouvelle-Aquitaine","44.0334374","-0.3176938",,"OT Landes d'Armagnac","2026-04-10T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura - L'Arche de Zahan","ASCAQU040V50QW3N","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Aureilhan","40200","40019","Landes","Nouvelle-Aquitaine","44.2192721","-1.2052016","https://www.terra-aventura.fr/","OT Mimizan","2026-02-06T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura - Mignon des sources","ASCAQU040V50QVOA","Produit","Pratique",,"Taller","40260","40311","Landes","Nouvelle-Aquitaine","43.8715979","-1.0720954",,"Côte Landes Nature Tourisme","2026-04-13T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura - Merci bécut!","ASCAQU040V50QVNA","Produit","Pratique",,"Lévignacq","40170","40154","Landes","Nouvelle-Aquitaine","44.0060836","-1.1656662",,"Côte Landes Nature Tourisme","2026-02-20T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura ""la bataille navale""","ASCAQU033V50XZQ3","Produit","Pratique",,"Castillon-la-Bataille","33350","33108","Gironde","Nouvelle-Aquitaine","44.85231","-0.04338",,"OT Castillon-Pujols","2026-01-06T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : Heraus de nos montagnes","ASCAQU064V5B5M3A","Produit","Pratique",,"Tardets-Sorholus","64470","64533","Pyrénées-Atlantiques","Nouvelle-Aquitaine","43.1158846","-0.8619476",,"Office de Tourisme Pays Basque","2026-01-01T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : les durs de l'Atlantique","ASCAQU064V5B5LW4","Produit","Pratique",,"Bidart","64210","64125","Pyrénées-Atlantiques","Nouvelle-Aquitaine","43.4416193","-1.5877474","https://www.bidarttourisme.com/","OT Bidart","2026-04-22T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : Cap ou « pacane » ?","ASCAQU033V50YIR7","Produit","Pratique",,"Léognan","33850","33238","Gironde","Nouvelle-Aquitaine","44.72743","-0.59752","http://www.sud-bordeaux-tourisme.com/","Sud Bordeaux Tourisme","2026-07-11T00:00:00.000Z","2026-07-12T02:20:17.069Z"
